
W1 -  CPI Weights: 2008 to 2026																															
 parts per 1000																															
2015=100																															

			2008	2009	2010	2011	2012	2013	2014	2015	2016	"2017 
Jan"	"2017 
Feb-Dec"	"2018
Jan"	"2018 
Feb-Dec"	"2019
Jan"	"2019 
Feb-Dec"	"2020
Jan"	"2020
Feb-Dec"	"2021
Jan"	"2021
Feb-Dec"	"2022
Jan"	"2022
Feb-Dec"	"2023
Jan"	"2023
Feb-Dec"	"20241
Jan"	"20241
Feb-Dec"	"20251
Jan"	"20251
Feb-Dec"	"20261
Jan"	"20261
Feb-Dec"
	CJWE	 01.1.4 Milk, cheese and eggs	14	15	14	15	14	13	14	14	12	12	12	12	12	11	11	10	10	12	11	12	12	13	14	12.9524	12.9864	13.2872	13.3445	11.8555	11.8173
	L84I	01.1.4.1 Whole milk	 ..	 ..	 ..	 ..	 ..	 ..	 ..	0.84	0.72	0.72	0.72	0.72	0.72	0.66	0.77	0.60	0.60	0.72	0.66	0.72	0.72	0.78	0.84	0.5961	0.6012	0.7575	0.7587	0.8600	0.8732
	L84J	01.1.4.2 Low fat milk	 ..	 ..	 ..	 ..	 ..	 ..	 ..	4.06	3.12	3.12	3.12	2.52	2.52	2.42	2.42	2.10	2.10	2.64	2.42	2.52	2.52	2.86	3.08	2.3165	2.3306	2.4654	2.4646	1.9486	1.9563
	L84L	01.1.4.4 Yoghurt	 ..	 ..	 ..	 ..	 ..	 ..	 ..	2.10	1.80	1.80	1.80	2.04	2.04	1.87	1.65	1.80	1.70	2.04	1.76	2.04	2.04	1.82	1.96	2.1406	2.1244	1.9865	1.9745	1.7367	1.7215
	L84M	01.1.4.5 Cheese and curd	 ..	 ..	 ..	 ..	 ..	 ..	 ..	3.50	3.24	3.24	3.24	3.36	3.36	2.97	3.08	2.70	2.80	3.24	3.08	3.36	3.36	3.90	4.34	3.9680	3.9668	3.9560	3.9998	3.6070	3.5556
	L84N	01.1.4.6 Other milk products	 ..	 ..	 ..	 ..	 ..	 ..	 ..	2.10	1.92	1.92	1.92	2.16	2.16	1.98	1.98	1.90	1.80	2.16	1.98	2.16	2.16	2.34	2.38	2.5865	2.5937	2.6234	2.6360	2.3193	2.3196
	L84O	01.1.4.7 Eggs	 ..	 ..	 ..	 ..	 ..	 ..	 ..	1.40	1.20	1.20	1.20	1.20	1.20	1.10	1.10	0.90	1.00	1.20	1.10	1.20	1.20	1.30	1.40	1.3448	1.3696	1.4985	1.5108	1.3840	1.3911
	CJWF	 01.1.5 Oils and fats	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	3	3	4	4	3.2720	3.2403	3.4300	3.3966	2.8380	2.8385
	L84P	01.1.5.1 Butter	 ..	 ..	 ..	 ..	 ..	 ..	 ..	0.72	0.72	0.72	0.72	0.72	0.72	0.74	0.72	1.05	0.74	0.76	0.76	0.93	0.90	1.28	1.24	0.9268	0.9224	1.0613	1.1286	1.0541	1.0472
	L84U	01.1.5.2 Margarine and other vegetable fats	 ..	 ..	 ..	 ..	 ..	 ..	 ..	0.76	0.76	0.76	0.76	0.68	0.68	0.74	0.76	1.17	0.68	0.66	0.64	1.38	1.41	1.72	1.68	1.2852	1.2445	1.2246	1.1691	1.0936	1.1121
